,author,name,pid
5,Albrecht Jander,Albrecht Jander,154/2677
6,Albrecht Schmidt 0001,Albrecht Schmidt 0001,s/AlbrechtSchmidt1
7,Alcherio Martinoli,Alcherio Martinoli,m/AMartinoli
8,Alcione P. Oliveira,Alcione de Paiva Oliveira,52/7546
9,Alcione de Paiva Oliveira,Alcione de Paiva Oliveira,52/7546
10,Aldeida Aleti,Aldeida Aleti,61/7634
11,Aldo A. Faisal,A. Aldo Faisal,54/5027
12,Aldo Faisal,A. Aldo Faisal,54/5027
13,Alec Jacobson,Alec Jacobson,33/8698
14,Alejandra Beghelli,Alejandra Beghelli,62/10886
15,Alejandro F. Frangi,Alejandro F. Frangi,16/4982
16,Alejandro Federico Frangi,Alejandro F. Frangi,16/4982
17,Alejandro Frangi,Alejandro F. Frangi,16/4982
18,Alejandro Hevia,Alejandro Hevia,h/AlejandroHevia
19,Alejandro Martínez-Ríos,Alejandro Martínez-Ríos,182/5822
20,Alejandro Masrur,Alejandro Masrur,45/6623
21,Alejandro P. Buchmann,Alejandro P. Buchmann,b/APBuchmann
22,Alejandro Paz-Lopez,Alejandro Paz-Lopez,11/8569
23,Alejandro Pazos,Alejandro Pazos,48/6925
24,Alejandro Pazos Sierra,Alejandro Pazos,48/6925
25,Alejandro Russo,Alejandro Russo,48/5534
26,Alek Vainshtein,Alek Vainshtein,v/AlekVainshtein
27,Aleks Kissinger,Aleks Kissinger,72/7260
28,Aleksandar Bojchevski,Aleksandar Bojchevski,203/8114
29,Aleksandar D. Rakic,Aleksandar D. Rakic,58/2406
30,Aleksandar Ignjatovic,Aleksandar Ignjatovic,i/AleksandarIgnjatovic
31,Aleksandar Ilic,Aleksandar Ilic,83/1727
32,Aleksandar Kuzmanovic,Aleksandar Kuzmanovic,k/AleksandarKuzmanovic
33,Aleksandar Nanevski,Aleksandar Nanevski,70/3373
34,Aleksandar Nikolov,Aleksandar Nikolov,24/7867
35,Aleksander Madry,Aleksander Madry,67/2454
36,Aleksandra Korolova,Aleksandra Korolova,08/1446
37,Aleksy Schubert,Aleksy Schubert,90/5775
38,Alena Denisova,Alena Denisova,161/3188
39,Alena Naiakshina,Alena Naiakshina,201/9227
40,Ales Horák,Ales Horák,90/1370
41,Ales Leonardis,Ales Leonardis,l/AlesLeonardis
42,Alessandra Cavarra,Alessandra Cavarra,54/5948
43,Alessandra Gorla,Alessandra Gorla,54/2159
44,Alessandra Russo,Alessandra Russo,79/683
45,Alessandra Scafuro,Alessandra Scafuro,72/7642
46,Alessandro Abate,Alessandro Abate,19/3904
47,Alessandro Acquisti,Alessandro Acquisti,49/3744
48,Alessandro Barenghi,Alessandro Barenghi,25/2565
49,Alessandro Biondi,Alessandro Biondi,153/0102
50,Alessandro Bozzon,Alessandro Bozzon,12/2920
51,Alessandro Bruni,Alessandro Bruni,63/8526
52,Alessandro Campi,Alessandro Campi,73/1805
53,Alessandro Chiesa,Alessandro Chiesa,27/8534
54,Alessandro E. C. Redondi,Alessandro Redondi,85/9578
55,Alessandro Enrico Cesare Redondi,Alessandro Redondi,85/9578
56,Alessandro Enrico Redondi,Alessandro Redondi,85/9578
57,Alessandro F. Garcia 0001,Alessandro F. Garcia 0001,g/AlessandroFGarcia
58,Alessandro Fabricio Garcia,Alessandro F. Garcia 0001,g/AlessandroFGarcia
59,Alessandro Flammini,Alessandro Flammini,78/5715
60,Alessandro Foi,Alessandro Foi,90/6262
62,Alessandro Garcia 0001,Alessandro F. Garcia 0001,g/AlessandroFGarcia
63,Alessandro L. Koerich,Alessandro L. Koerich,37/4335
64,Alessandro Lameiras Koerich,Alessandro L. Koerich,37/4335
65,Alessandro Margara,Alessandro Margara,05/7380
66,Alessandro Mei,Alessandro Mei,m/AlessandroMai
67,Alessandro Moschitti,Alessandro Moschitti,54/2140
68,Alessandro Orso,Alessandro Orso,35/805
69,Alessandro Panconesi,Alessandro Panconesi,53/6558
70,Alessandro Pandini,Alessandro Pandini,72/3289
71,Alessandro Papadopoulos,Alessandro Vittorio Papadopoulos,92/9596
72,Alessandro Provetti,Alessandro Provetti,74/5741
73,Alessandro Redondi,Alessandro Redondi,85/9578
74,Alessandro Roncone,Alessandro Roncone,151/9736
76,Alessandro Siro Campi,Alessandro Campi,73/1805
77,Alessandro V. Papadopoulos,Alessandro Vittorio Papadopoulos,92/9596
78,Alessandro Veneziani,Alessandro Veneziani,68/3812
79,Alessandro Vespignani,Alessandro Vespignani,65/1550
80,Alessandro Vinciarelli,Alessandro Vinciarelli,09/6044
81,Alessandro Vittorio Papadopoulos,Alessandro Vittorio Papadopoulos,92/9596
82,Alessia Saggese,Alessia Saggese,64/11434
83,Alessio Benavoli,Alessio Benavoli,12/2959
84,Alessio Gaspar,Alessio Gaspar,17/5371
85,Alessio Guglielmi,Alessio Guglielmi,g/AlessioGuglielmi
86,Alessio Lomuscio,Alessio Lomuscio,l/AlessioLomuscio
87,Alessio Micheli,Alessio Micheli,34/4759
88,Alessio R. Lomuscio,Alessio Lomuscio,l/AlessioLomuscio
89,Alex Afanasyev,Alex Afanasyev,34/10609
90,Alex Aiken,Alexander Aiken,a/AAiken
91,Alex Allauzen,Alexandre Allauzen,54/8163
92,Alex Alves Freitas,Alex Alves Freitas,f/AlexAlvesFreitas
93,Alex Biryukov,Alex Biryukov,09/5071
94,Alex Brodsky,Alex Brodsky,b/AlexBrodsky
95,Alex C. Snoeren,Alex C. Snoeren,s/AlexCSnoeren
96,Alex David Groce,Alex Groce,g/AlexGroce
97,Alex Delis,Alex Delis,d/AlexDelis
98,Alex Dimakis,Alexandros G. Dimakis,19/5000
99,Alex Endert,Alex Endert,19/7983
100,Alex Gerdes,Alex Gerdes,19/2075
101,Alex Groce,Alex Groce,g/AlexGroce
102,Alex Huth,Alexander G. Huth,44/8860
103,Alex Ihler,Alex Ihler,39/1313
104,Alex J. Gammerman,Alexander Gammerman,g/AlexanderGammerman
105,Alex Jung,Alex Jung,91/7866
106,Alex Kirlik,Alex Kirlik,74/992
107,Alex Lascarides,Alex Lascarides,14/1635
108,Alex Liu,Alex Liu,121/1348
109,Alex Lopez-Lorca,Alex Lopez-Lorca,205/0124
110,Alex M. Bronstein,Alexander M. Bronstein,77/3198
111,Alex Mariakakis,Alexander Mariakakis,116/0750
112,Alex Mihailidis,Alex Mihailidis,93/1668
113,Alex Nicolau,Alexandru Nicolau,n/AlexandruNicolau
114,Alex Orailoglu,Alex Orailoglu,o/AlexOrailoglu
115,Alex Pang,Alex Pang,p/AlexTPang
116,Alex Potanin,Alex Potanin,88/4178
117,Alex Pothen,Alex Pothen,03/854
118,Alex Psomas 0001,Christos-Alexandros Psomas,19/10537
119,Alex Rasin,Alex Rasin,39/998
120,Alex Ratner,Alex Ratner,297/3438
121,Alex Rogers,Alex Rogers,37/4849
122,Alex S. Taylor,Alex S. Taylor,99/3558
123,Alex S. Weddell,Alex S. Weddell,65/7399
124,Alex Samorodnitsky,Alex Samorodnitsky,08/2121
125,Alex Sandro Gomes,Alex Sandro Gomes,43/5447
126,Alex T. Pang,Alex T. Pang,p/AlexTPang
127,Alex Ter-Sarkisov,Alex Ter-Sarkisov,97/8284
128,Alex Thomo,Alex Thomo,t/AlexThomo
129,Alex Volfovsky,Alex Volfovsky,216/4282
130,Alex Wong 0002,Alex Wong 0002,39/6537-2
131,Alex Zelikovsky,Alex Zelikovsky,z/AZelikovsky
132,Alexander A. Razborov,Alexander A. Razborov,r/AARazborov
133,Alexander A. Sherstov,Alexander A. Sherstov,93/259
134,Alexander Afanasyev,Alexander Afanasyev,34/10609
135,Alexander Aiken,Alexander Aiken,a/AAiken
136,Alexander Allauzen,Alexandre Allauzen,54/8163
137,Alexander Barg,Alexander Barg,b/AlexanderBarg
138,Alexander Binder,Alexander Binder,54/7546
139,Alexander Borgida,Alexander Borgida,b/ABorgida
140,Alexander Brodsky 0001,Alexander Brodsky 0001,b/AlexanderBrodsky
141,Alexander Brodsky 0003,Alex Brodsky,b/AlexBrodsky
142,Alexander C. Russell,Alexander Russell,r/AlexanderRussell
143,Alexander Egyed,Alexander Egyed,20/5529
144,Alexander Endert,Alex Endert,19/7983
145,Alexander Felfernig,Alexander Felfernig,71/915
146,Alexander Ferworn,Alexander Ferworn,13/5090
147,Alexander Fraser 0001,Alexander Fraser 0001,145/8377
148,Alexander G. Gray,Alexander G. Gray,85/110
149,Alexander G. Huth,Alexander G. Huth,44/8860
150,Alexander G. Ororbia II,Alexander Ororbia,160/1683
151,Alexander G. Schwing,Alexander G. Schwing,79/9775
152,Alexander Gammerman,Alexander Gammerman,g/AlexanderGammerman
153,Alexander Gerhard Schwing,Alexander G. Schwing,79/9775
154,Alexander Golovnev,Alexander Golovnev,31/11062
155,Alexander Gumennik,Alexander Gumennik,303/3144
156,Alexander Herzog,Alexander Herzog,117/2133
157,Alexander Hinneburg,Alexander Hinneburg,37/2076
158,Alexander Huth,Alexander G. Huth,44/8860
159,Alexander J. Hartemink,Alexander J. Hartemink,64/1983
160,Alexander J. Summers,Alexander J. Summers,76/5160
161,Alexander Jung,Alexander Jung,91/7866
162,Alexander Kain,Alexander Kain,19/4966
163,Alexander Kemper,Alexander Kemper,123/7617
164,Alexander Knapp,Alexander Knapp,58/2631
165,Alexander Koller,Alexander Koller,52/3406
167,Alexander Kotov,Alexander Kotov,47/8024
168,Alexander Krull,Alexander Krull,150/4220
169,Alexander L. Wijesinha,Alexander L. Wijesinha,18/3150
170,Alexander L. Wolf,Alexander L. Wolf,w/AlexanderLWolf
171,Alexander Leitsch,Alexander Leitsch,23/4864
172,Alexander Lex,Alexander Lex,12/7258
173,Alexander M. Barg,Alexander Barg,b/AlexanderBarg
174,Alexander M. Bronstein,Alexander M. Bronstein,77/3198
175,Alexander M. Fraser,Alexander Fraser 0001,145/8377
176,Alexander M. Rush [Tech],Alexander M. Rush,67/9012
177,Alexander Mariakakis,Alexander Mariakakis,116/0750
178,Alexander May 0001,Alexander May 0001,62/1898
179,Alexander Medvedev,Alexander Medvedev,82/2795
180,Alexander Mehler,Alexander Mehler,m/AlexanderMehler
181,Alexander Meschtscherjakov,Alexander Meschtscherjakov,08/4981
182,Alexander Moshe Rabinovich,Alexander Moshe Rabinovich,r/AlexanderMosheRabinovich
183,Alexander Nelson,Alexander Nelson,140/7986
185,Alexander Ororbia,Alexander Ororbia,160/1683
186,Alexander P. Turner,Alexander P. Turner,87/11122
187,Alexander Phillip Turner,Alexander P. Turner,87/11122
188,Alexander Pretschner,Alexander Pretschner,98/5319
189,Alexander Pudmenzky,Alexander Pudmenzky,97/6385
190,Alexander Raake,Alexander Raake,47/1247
191,Alexander Rabinovich,Alexander Moshe Rabinovich,r/AlexanderMosheRabinovich
192,Alexander Rakhlin,Alexander Rakhlin,59/407
193,Alexander Rasin,Alexander Rasin,39/998
194,Alexander Russell,Alexander Russell,r/AlexanderRussell
195,Alexander S. Ecker,Alexander S. Ecker,26/7228
196,Alexander S. Kotov,Alexander Kotov,47/8024
197,Alexander Schill,Alexander Schill,51/3949
198,Alexander Schlaefer,Alexander Schlaefer,08/5407
199,Alexander Schliep,Alexander Schliep,23/3903
200,Alexander Schwarzmann,Alexander A. Schwarzmann,s/AlexanderAShvartsman
201,Alexander Serebrenik,Alexander Serebrenik,s/AlexanderSerebrenik
202,Alexander T. Ihler,Alexander T. Ihler,39/1313
219,André Santanchè,André Santanchè,72/3424
221,Andy Mirzaian,Andranik Mirzaian,m/AndranikMirzaian
225,Anja Feldmann [INF],Anja Feldmann,f/AnjaFeldmann
228,Antoine Kaufmann [SWS],Antoine Kaufmann,145/5081
236,Ari Juels [Tech],Ari Juels,j/AriJuels
238,Asia J. Biega [SP],Asia J. Biega,130/0373
246,Bernhard Schölkopf [IS],Bernhard Schölkopf,97/119
247,Bernt Schiele [INF],Bernt Schiele,s/BerntSchiele
249,Björn B. Brandenburg [SWS],Björn B. Brandenburg,19/2942
250,Björn Bernhard Brandenburg [SWS],Björn B. Brandenburg,19/2942
259,Catalin Hritcu [SP],Catalin Hritcu,09/2281
270,Christian Theobalt [INF],Christian Theobalt,55/3346
273,Christof Paar [SP],Christof Paar,p/ChristofPaar
277,Christoph Weidenbach [INF],Christoph Weidenbach,42/5299
281,Cătălin Hrițcu [SP],Catalin Hritcu,09/2281
291,Danupon Nanongkai [INF],Danupon Nanongkai,61/2421
306,Deborah Estrin [Tech],Deborah Estrin,e/DeborahEstrin
308,Deepak Garg 0001 [SWS],Deepak Garg 0001,45/6786-1
309,Deepankar Medhi,Deep Medhi,m/DeepMedhi
311,Derek Dreyer [SWS],Derek Dreyer,d/DerekDreyer
317,Dina Sokol,Dina Sokol,91/3705
318,Dinesh Babu J.,Dinesh Babu J.,39/1552
319,Dinesh Babu Jayagopi,Dinesh Babu Jayagopi,39/1552
320,Dinesh Bharadia,Dinesh Bharadia,52/10159
321,Dinesh Jayaraman,Dinesh Jayaraman,145/3870
322,Dinesh K. Pai,Dinesh K. Pai,37/6226
323,Dinesh Manocha,Dinesh Manocha,m/DineshManocha
324,Dinesh Mehta,Dinesh P. Mehta,57/5173
325,Dinesh P. Mehta,Dinesh P. Mehta,57/5173
326,Ding Li 0001,Ding Li 0001,95/7132-1
327,Ding Ye,Ding Ye,47/8039
328,Ding Yuan 0004,Ding Yuan 0004,230/9043-4
329,Ding-Gang Shen,Dinggang Shen,14/4383
330,Ding-Zhu Du,Ding-Zhu Du,d/DingZhuDu
331,Dinggang Shen,Dinggang Shen,14/4383
332,Dinghao Wu,Dinghao Wu,54/2696
333,Dingming Wu 0001,Dingming Wu 0001,81/6181
355,Eugene W. Myers [CBG],Eugene W. Myers,m/EugeneWMyers
357,Eva Darulova [SWS],Eva Darulova,75/10322
385,Gene Myers [CBG],Eugene W. Myers,m/EugeneWMyers
386,Gene W. Myers [CBG],Eugene W. Myers,m/EugeneWMyers
388,Georg Zetzsche [SWS],Georg Zetzsche,24/651
393,Gerhard Weikum [INF],Gerhard Weikum,w/GerhardWeikum
395,Gilles Barthe [SP],Gilles Barthe,b/GBarthe
396,Giulio Malavolta [SP],Giulio Malavolta,148/1304
398,Greg Morrisett [Tech],J. Gregory Morrisett,m/JGMorrisett
405,Hans-Peter Seidel [INF],Hans-Peter Seidel,s/HansPeterSeidel
410,Helen Nissenbaum [Tech],Helen Nissenbaum,15/4947
420,Ian David Bede Stark,Ian Stark,08/3395
421,Ian Horswill,Ian Horswill,h/IanHorswill
423,Isaac Cho,Isaac Cho,50/11181
429,J. Gregory Morrisett [Tech],J. Gregory Morrisett,m/JGMorrisett
450,Ji Ming,Ji Ming,96/2945
451,Ji Won Seo,Ji Won Seo,27/229
452,Jia Hu,Jia Hu,88/1307
453,Jia Jia 0001,Jia Jia 0001,71/2992-1
454,Jia Li 0003,Jia Li 0003,23/6950-3
455,Jia Liu 0002,Jia Liu 0002,49/1245-2
456,Jia Liu 0008,Jia Liu 0008,49/1245-8
460,Jim Kurose,James F. Kurose,k/JamesFKurose
461,Jim Laird,James Laird,l/JimLaird
462,Jim Lathrop,James I. Lathrop,06/3719
463,Jim Leone,Jim Leone,57/7509
464,Jim Little 0001,James J. Little,18/2287
465,Jim Martin,Jim Martin,292/9440
466,Jim Martin 0001,Jim Martin 0001,48/3165
467,Jim McCann,James McCann,21/304
468,Jim Purtilo,James M. Purtilo,p/JamesMPurtilo
469,Jim R. Davies,Jim R. Davies,21/3835
470,Jim R. Larus,James R. Larus,l/JamesRLarus
471,Jim Rehg,James M. Rehg,r/JMRehg
472,Jim Waldo,Jim Waldo,91/3861
473,Jim Warren 0001,James R. Warren,00/256
474,Jim Whitehead,E. James Whitehead Jr.,w/EJWhiteheadJr
483,Joe Geigel,Joe Geigel,98/3022
484,Joe Gibbs Politz,Joe Gibbs Politz,24/11088
485,Joe Halpern,Joe Halpern,h/JosephYHalpern
486,Joe Hummel,Joe Hummel,74/545
487,Joe K. Kearney,Joe K. Kearney,33/6960
488,Joe Konstan,Joe Konstan,09/3004
489,Joe LaViola,Joseph J. LaViola Jr.,48/4693
492,John A. Halderman,J. Alex Halderman,h/JAlexHalderman
493,John A. Kapenga,John A. Kapenga,28/2399
501,Jonathan Mace [SWS],Jonathan Mace,154/0937
512,Joël Ouaknine [SWS],Joël Ouaknine,55/4663
527,Karol Myszkowski [INF],Karol Myszkowski,m/KMyszkowski
530,Katherine J. Kuchenbecker [IS],Katherine J. Kuchenbecker,k/KatherineJKuchenbecker
542,Krishna P. Gummadi [SWS],Krishna P. Gummadi,g/PKrishnaGummadi
544,Kurt Mehlhorn [INF],Kurt Mehlhorn,m/KurtMehlhorn
569,Manuel Gomez-Rodriguez [SWS],Manuel Gomez-Rodriguez,73/8260
571,Marcel Böhme [SP],Marcel Böhme,91/7541
579,Maria Christakis [SWS],Maria Christakis,05/7730
590,Martin Vingron [MG],Martin Vingron,36/6567
599,Metin Sitti [IS],Metin Sitti,25/3694
603,Michael Julian Black [IS],Michael J. Black,b/MichaelJBlack
609,Michael Sonntag,Michael Sonntag,33/886
610,Michael Stumm,Michael Stumm,82/5150
613,Michael Wybrow,Michael Wybrow,33/6209
614,Michael Yacci,Michael Yacci,03/2412
616,Michele Lanza,Michele Lanza,53/6708
617,Michele Nappi,Michele Nappi,35/2888
618,Michele Parrinello,Michele Parrinello,72/809
619,Michele Risi,Michele Risi,05/4697
630,Mor Naaman [Tech],Mor Naaman,42/241
640,Nicola Lee Dell [Tech],Nicola Dell,75/11301
642,Noah Snavely [Tech],Noah Snavely,33/4636
648,P. Krishna Gummadi [SWS],Krishna P. Gummadi,g/PKrishnaGummadi
667,Peter Druschel [SWS],Peter Druschel,d/PDruschel
673,Peter Schwabe [SP],Peter Schwabe,30/1431
689,Rajalakshmi Nandakumar [Tech],Rajalakshmi Nandakumar,118/3387
690,Ramin Zabih [Tech],Ramin Zabih,z/RaminZabih
708,Ron Brachman [Tech],Ronald J. Brachman,b/RJBrachman
714,Rupak Majumdar [SWS],Rupak Majumdar,71/1981
737,Shiri Azenkot [Tech],Shiri Azenkot,99/8732
759,Tanzeem Choudhury [Tech],Tanzeem Choudhury,86/45
763,Thomas Lengauer [INF],Thomas Lengauer,l/TLengauer
765,Thomas Ristenpart [Tech],Thomas Ristenpart,26/3399
782,Viktor Vafeiadis [SWS],Viktor Vafeiadis,69/1549
783,Vitaly Shmatikov [Tech],Vitaly Shmatikov,46/6275
784,Volodymyr Kuleshov [Tech],Volodymyr Kuleshov,81/8612
799,Yoav Artzi [Tech],Yoav Artzi,32/10489
